"","ter_ic","title","sum","IC","result"
"80","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_10",37
"81","TIC_1","Бабурин Сергей Николаевич",609,"УИК_11",13
"82","TIC_1","Грудинин Павел Николаевич",5832,"УИК_11",111
"83","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_11",50
"84","TIC_1","Путин Владимир Владимирович",45322,"УИК_11",731
"85","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_11",78
"86","TIC_1","Сурайкин Максим Александрович",401,"УИК_11",5
"87","TIC_1","Титов Борис Юрьевич",1166,"УИК_11",14
"88","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_11",70
"89","TIC_1","Бабурин Сергей Николаевич",609,"УИК_12",4
"90","TIC_1","Грудинин Павел Николаевич",5832,"УИК_12",44
"91","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_12",35
"92","TIC_1","Путин Владимир Владимирович",45322,"УИК_12",373
"93","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_12",32
"94","TIC_1","Сурайкин Максим Александрович",401,"УИК_12",5
"95","TIC_1","Титов Борис Юрьевич",1166,"УИК_12",3
"96","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_12",19
"97","TIC_1","Бабурин Сергей Николаевич",609,"УИК_13",12
"98","TIC_1","Грудинин Павел Николаевич",5832,"УИК_13",86
"99","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_13",38
"100","TIC_1","Путин Владимир Владимирович",45322,"УИК_13",772
"101","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_13",51
"102","TIC_1","Сурайкин Максим Александрович",401,"УИК_13",10
"103","TIC_1","Титов Борис Юрьевич",1166,"УИК_13",13
"104","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_13",46
"105","TIC_1","Бабурин Сергей Николаевич",609,"УИК_14",9
"106","TIC_1","Грудинин Павел Николаевич",5832,"УИК_14",115
"107","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_14",56
"108","TIC_1","Путин Владимир Владимирович",45322,"УИК_14",904
"109","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_14",65
"110","TIC_1","Сурайкин Максим Александрович",401,"УИК_14",7
"111","TIC_1","Титов Борис Юрьевич",1166,"УИК_14",17
"112","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_14",68
"113","TIC_1","Бабурин Сергей Николаевич",609,"УИК_15",8
"114","TIC_1","Грудинин Павел Николаевич",5832,"УИК_15",123
"115","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_15",54
"116","TIC_1","Путин Владимир Владимирович",45322,"УИК_15",881
"117","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_15",76
"118","TIC_1","Сурайкин Максим Александрович",401,"УИК_15",6
"119","TIC_1","Титов Борис Юрьевич",1166,"УИК_15",24
"120","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_15",50
"121","TIC_1","Бабурин Сергей Николаевич",609,"УИК_16",12
"122","TIC_1","Грудинин Павел Николаевич",5832,"УИК_16",131
"123","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_16",52
